"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","客户表测试用例","1","0","添加数据成功","0"
"0","","0","采购PO答复测试用例","1","0","查询测试数据成功","0"
"0","","0","订单预占料测试用例","2","0","删除数据成功","0"
"0","","0","未领料明细测试用例","1","0","没有数据时显示正常","0"
"1","","0","配置同步页用例","0","0","分配全部资源给另外一个用户成功","0"
"0","","0","MRP需求计划表，MRP关联明细，请购单生成，计划单生成，请购单列表，工单列表页用例","1","0","点击导出MRP关联明细不报错","0"
"0","","0","供应商配额测试用例","1","0","删除测试数据成功","0"
"0","","0","计划计算测试用例","1","0","方案管理中计划方案组合框显示关闭，不显示该方案","0"
"0","","0","生产特征切换表测试用例","1","0","生产特征4切换增删查改","0"
"0","","0","生产报工测试用例","1","0","添加布局","0"
"0","","0","生产日历表测试用例","1","0","添加生产日历信息 不填写数据点击确认 不允许提交","0"
"0","","0","资源组表测试用例","1","0","取消删除数据","0"
"0","","0","生产报工测试用例","1","0","校验数字文本框和文本框成功","0"
"0","","0","生产特征切换表测试用例","1","0","生产特征3切换增删查改","0"
"0","","0","方案管理表测试用例","1","0","属性设置-时间属性-用户指定最迟结束时刻","0"
"0","","0","物品切换表测试用例","2","0","添加数据成功","0"
"0","","0","班次表测试用例","1","0","把修改后的班次代码改回来","0"
"0","","0","客户表测试用例","1","0","输入全部数据，添加保存成功","0"
"0","","0","标准应用设置测试用例","1","0","修改标签名，修改成功，添加查询数据","0"
"0","","0","事务管理页用例","1","0","我的流程-是否启动查询为开启","0"
"0","","0","物控计算测试用例","1","0","不输入计划方案，点击执行不成功","0"
"0","","0","接口配置分发页用例","1","0","添加数据成功","0"
"0","","0","采购PO答复测试用例","1","0","修改测试数据成功","0"
"0","","0","物料BOM测试用例","1","0","没有数据时显示正常","0"
"0","","0","接收数据页用例","1","0","添加数据成功","0"
"0","","0","事务管理页用例","1","0","我的流程-频率为周，不填写时间设置，不允许保存","0"
"0","","0","制造订单表测试用例","1","0","修改制造订单代码重复","0"
"0","","0","甘特图测试用例","1","0","计划评估对比不选数据点击查询","0"
"0","","0","仓库库位测试用例","1","0","修改工厂代码重复","0"
"0","","0","物料BOM测试用例","1","0","修改测试数据成功","0"
"0","","0","接口配置分发页用例","1","0","过滤条件查询，一个不选，显示正常","0"
"0","","0","角色管理页用例","1","0","过滤条件查询，设置包含条件查询成功","0"
"0","","0","应用管理页用例","1","0","新增输入应用代码，应用名称点击保存不允许添加","0"
"0","","0","生产报工测试用例","1","0","数字文本框只允许输入数字","0"
"0","","0","主页设置页用例","1","0","正在使用的模版不允许删除","0"
"0","","0","物料替代页用例","1","0","查询替代类别和父料号和被替代子项料号成功","0"
"0","","0","物料BOM测试用例","1","0","新增全部数据测试","0"
"0","","0","供应商信息测试用例","1","0","添加供应商信息 不填写数据点击确认 不允许提交","0"
"0","","0","审核日志页用例","1","0","点击查询默认显示当天查询无异常数据","0"
"0","","0","环境设置页用例","1","0","排程页面-校验所有数字输入框-只允许输入数字","0"
"0","","0","方案管理表测试用例","1","0","属性设置-新增资源选择策略-评估方案","0"
"0","","0","操作日志页用例","1","0","过滤条件查询，设置包含条件查询成功","0"
"0","","0","物料组表测试用例","1","0","刷新成功","0"
"0","","0","物控方案管理表测试用例","1","0","添加复制测试方案成功","0"
"0","","0","环境设置页用例","2","0","标识页面-设置商标成功","0"
"0","","0","接收数据页用例","1","0","不填写数据点击新增不允许保存","0"
"1","","0","平台监控页用例","0","0","查询不报错","0"
"0","","0","事务管理页用例","1","0","我的流程-频率为每天，不填写间隔执行，不允许保存","0"
"0","","0","数据库维护页用例","1","0","删除表数据成功","0"
"0","","0","接口配置分发页用例","1","0","清除筛选效果成功","0"
"0","","0","采购PO答复测试用例","1","0","取消删除数据","0"
"0","","0","方案管理表测试用例","1","0","属性设置-分派失败时(资源锁定制约)","0"
"0","","0","资源组表测试用例","1","0","校验数字文本框和文本框成功","0"
"0","","0","数据库维护页用例","1","0","添加重复表代码不允许添加","0"
"0","","0","PSI设置用例","1","0","点击取消不会修改数据","0"
"0","","0","表达式管理页用例","1","0","添加表达式管理成功","0"
"0","","0","供应商配额测试用例","1","0","修改数据重复","0"
"0","","0","物控需求定义页用例","1","0","过滤条件查询，设置包含条件查询成功","0"
"0","","0","菜单组件页用例","1","0","查询组件名称包含A成功","0"
"0","","0","模块管理页用例","1","0","过滤条件查询，设置包含条件查询成功","0"
"0","","0","用户权限管理页用例","1","0","添加用户成功","0"
"0","","0","物料组表测试用例","1","0","输入全部数据，添加保存成功","0"
"0","","0","个人设置测试用例","1","0","组件菜单文字-显示","0"
"0","","0","工作指示发布表测试用例","1","0","不勾选资源不点击时间，点击查询 不允许查询","0"
"0","","0","用户权限管理页用例","1","0","清除筛选效果成功","0"
"0","","0","物料CTB测试用例","1","0","没有数据时显示正常","0"
"0","","0","系统标识设置页用例","1","0","恢复登录背景图为默认","0"
"0","","0","客户表测试用例","1","0","查询客户名称以美开头或显示顺序>10","0"
"0","","0","PSI设置用例","1","0","修改表行，表列，数据内容名称成功","0"
"0","","0","个人设置测试用例","1","0","旧密码错误不允许修改","0"
"0","","0","数据库维护页用例","1","0","添加表成功","0"
"0","","0","物控供应定义页用例","1","0","查询供应编码成功","0"
"0","","0","甘特图测试用例","5","0","删除布局名称成功","0"
"0","","0","表达式管理页用例","1","0","查询表达式名称成功","0"
"0","","0","资源组表测试用例","1","0","添加资源组信息 不填写数据点击确认 不允许提交，添加测试布局","0"
"0","","0","客户表测试用例","1","0","数字文本框 只允许填写数字","0"
"0","","0","生产特征切换表测试用例","1","0","添加资源切换信息 填写资源，前生产特征和后生产特征，填写切换时间，不填写优先度 不允许提交","0"
"0","","0","工作指示发布表测试用例","1","0","勾选资源，勾选时间段，点击查询 查询成功,发布指示成功","0"
"0","","0","工序表测试用例","1","0","修改工序名，显示颜色成功","0"
"0","","0","标准应用设置测试用例","1","0","设置表格布局-设置物料名称为不可见","0"
"0","","0","计划单元页用例","1","0","添加CTB计划单元成功","0"
"0","","0","主页设置页用例","1","0","切换模版点击确定不保存，则修改的内容没有保存，并且切换到别的模版上","0"
"0","","0","多语言资源页用例","1","0","新增直接点击保存不允许添加","0"
"0","","0","工艺产能表测试用例","4","0","删除数据成功","0"
"0","","0","表达式管理页用例","1","0","清除筛选效果成功","0"
"0","","0","物料替代页用例","1","0","添加单料替代成功","0"
"0","","0","工艺产能表测试用例","1","0","添加工艺产能信息 不填写数据点击确认 不允许提交","0"
"0","","0","甘特图测试用例","5","0","修改布局名称成功","0"
"0","","0","客户表测试用例","1","0","查询客户代码成功","0"
"0","","0","用户权限管理页用例","1","0","设置用户有效期为之前的，显示已过期","0"
"0","","0","供应商配额测试用例","1","0","新增全部数据测试","0"
"0","","0","方案管理表测试用例","1","0","属性设置-忽视未分派的前后工序的工作","0"
"0","","0","物料表测试用例","1","0","代码设计器选择成功，并且没有乱码","0"
"0","","0","供应商配额测试用例","1","0","添加测试数据","0"
"1","","0","配置同步页用例","0","0","分配一个资源给另外一个用户成功","0"
"0","","0","配置同步页用例","1","0","同步多个数据导入到一个计划单元成功","0"
"0","","0","事务管理页用例","1","0","我的流程-添加全部数据，保存成功","0"
"0","","0","环境设置页用例","1","0","恢复默认设置","0"
"0","","0","物料BOM测试用例","2","0","删除数据成功","0"
"0","","0","菜单组件页用例","1","0","修改重复需求来源编码不允许修改","0"
"0","","0","事务管理页用例","1","0","我的流程-频率为周，不填写时间设置，不允许点击下一步","0"
"0","","0","物控需求定义页用例","1","0","修改需求来源编码不允许修改","0"
"0","","0","生产报工测试用例","1","0","当报工数量小于实绩报工数量 修改报工数量成功","0"
"0","","0","采购PO答复测试用例","1","0","添加测试数据","0"
