"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11946","test_process_select5","Tests.test_items","Tue Mar 10 08:10:06 CDT 2026","passed","Tue Mar 10 08:10:18 CDT 2026","TestProcessPage","test_process","",""
"","13327","test_interfaceconfiguration_clear","Tests.test_system","Tue Mar 10 17:08:09 CDT 2026","passed","Tue Mar 10 17:08:22 CDT 2026","TestSInterfaceConfigurationPage","test_interfaceconfiguration","",""
"","15667","test_changer_editprioritizationsuccess","Tests.test_items","Tue Mar 10 08:51:28 CDT 2026","passed","Tue Mar 10 08:51:44 CDT 2026","TestChangeRPage","test_changeR","",""
"","23350","test_unpickedMaterialDetails_addsuccess","Tests.test_material","Tue Mar 10 13:31:40 CDT 2026","passed","Tue Mar 10 13:32:03 CDT 2026","TestItemPage","test_unpickedMaterialDetails","",""
"","11864","test_module_appshow","Tests.test_system","Tue Mar 10 16:19:15 CDT 2026","broken","Tue Mar 10 16:19:27 CDT 2026","TestSModulePage","test_module","",""
"","10395","test_material_batchcomplete_select","Tests.test_material","Tue Mar 10 14:09:56 CDT 2026","passed","Tue Mar 10 14:10:06 CDT 2026","TestSPlanDataPage","test_materialPlanData","",""
"","20375","test_environment_plan_checkbox2","Tests.test_system","Tue Mar 10 14:25:11 CDT 2026","passed","Tue Mar 10 14:25:32 CDT 2026","TestEnvironmentPage","test_environment","",""
"","12878","test_materialBuyer_select4","Tests.test_material","Tue Mar 10 12:39:02 CDT 2026","passed","Tue Mar 10 12:39:15 CDT 2026","TestItemPage","test_materialBuyer","",""
"","21071","test_spec_selectnodatasuccess","Tests.test_items","Tue Mar 10 06:33:31 CDT 2026","passed","Tue Mar 10 06:33:52 CDT 2026","TestSpecPage","test_spec1","",""
"","6205","test_language_addfail3","Tests.test_system","Tue Mar 10 16:35:11 CDT 2026","passed","Tue Mar 10 16:35:18 CDT 2026","TestSLanguagePage","test_language","",""
"","11508","test_affairs_log_sel4","Tests.test_system","Tue Mar 10 14:40:15 CDT 2026","passed","Tue Mar 10 14:40:27 CDT 2026","TestAffairsPage","test_affairs","",""
"","12245","test_material_batchcomplete_select7","Tests.test_material","Tue Mar 10 14:11:11 CDT 2026","passed","Tue Mar 10 14:11:23 CDT 2026","TestSPlanDataPage","test_materialPlanData","",""
"","7993","test_materialVendors_editcodesuccess","Tests.test_material","Tue Mar 10 12:04:12 CDT 2026","passed","Tue Mar 10 12:04:20 CDT 2026","TestItemPage","test_materialVendors","",""
"","9011","test_changeI_select4","Tests.test_items","Tue Mar 10 08:44:33 CDT 2026","passed","Tue Mar 10 08:44:42 CDT 2026","TestChangeIPage","test_changeI","",""
"","240534","test_item_addall","Tests.test_items","Tue Mar 10 07:00:51 CDT 2026","passed","Tue Mar 10 07:04:52 CDT 2026","TestItemPage","test_item","",""
"","7356","test_tablesetting_switchOrderChart2","Tests.test_items","Tue Mar 10 11:17:56 CDT 2026","passed","Tue Mar 10 11:18:03 CDT 2026","TestTableSettingPage","test_tablesetting","",""
"","5967","test_customer_editrepeat","Tests.test_items","Tue Mar 10 06:49:07 CDT 2026","passed","Tue Mar 10 06:49:13 CDT 2026","TestCustomerPage","test_customer","",""
"","7400","test_material_ordercompleteresults_click2","Tests.test_material","Tue Mar 10 14:05:41 CDT 2026","passed","Tue Mar 10 14:05:48 CDT 2026","TestSPlanDataPage","test_materialPlanData","",""
"","20805","test_setting_display4","Tests.test_items","Tue Mar 10 10:45:01 CDT 2026","passed","Tue Mar 10 10:45:22 CDT 2026","TestSettingPage","test_setting","",""
"","6407","test_affairs_process_copy","Tests.test_system","Tue Mar 10 14:38:18 CDT 2026","passed","Tue Mar 10 14:38:25 CDT 2026","TestAffairsPage","test_affairs","",""
"","15590","test_interfaceexecution_data","Tests.test_system","Tue Mar 10 17:09:05 CDT 2026","passed","Tue Mar 10 17:09:20 CDT 2026","TestsInterfaceExecutionPage","test_interfaceexecution","",""
