"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10779","test_environment_all_select1","Tests.test_system","Fri Jan 23 03:09:37 CST 2026","passed","Fri Jan 23 03:09:47 CST 2026","TestEnvironmentPage","test_environment","",""
"","15998","test_unit_ctrlM","Tests.test_system","Fri Jan 23 03:46:51 CST 2026","passed","Fri Jan 23 03:47:07 CST 2026","TestPlanUnitPage","test_planUnit","",""
"","12499","test_materialBuyer_delsuccess1","Tests.test_material","Fri Jan 23 01:25:37 CST 2026","passed","Fri Jan 23 01:25:50 CST 2026","TestItemPage","test_materialBuyer","",""
"","42026","test_changespec_addtt","Tests.test_items","Thu Jan 22 21:57:12 CST 2026","passed","Thu Jan 22 21:57:54 CST 2026","TestChangeSpecPage","test_changespec","",""
"","21396","test_inTransitInventory_addsuccess","Tests.test_material","Fri Jan 23 01:44:10 CST 2026","failed","Fri Jan 23 01:44:32 CST 2026","TestItemPage","test_inTransitInventory","",""
"","6097","test_warehouselocation_delcancel","Tests.test_material","Fri Jan 23 00:29:51 CST 2026","passed","Fri Jan 23 00:29:57 CST 2026","TestItemPage","test_warehouseLocation","",""
"","23277","test_unpickedMaterialDetails_selectnodatasuccess","Tests.test_material","Fri Jan 23 02:12:11 CST 2026","passed","Fri Jan 23 02:12:34 CST 2026","TestItemPage","test_unpickedMaterialDetails","",""
"","23078","test_unpickedMaterialDetails_selectcodesuccess","Tests.test_material","Fri Jan 23 02:11:48 CST 2026","passed","Fri Jan 23 02:12:11 CST 2026","TestItemPage","test_unpickedMaterialDetails","",""
"","13430","test_workdetails_select5","Tests.test_items","Thu Jan 22 23:00:25 CST 2026","passed","Thu Jan 22 23:00:38 CST 2026","TestWorkTasksPage","test_worktasks","",""
"","8853","test_spec_addsuccess","Tests.test_items","Thu Jan 22 19:41:12 CST 2026","passed","Thu Jan 22 19:41:21 CST 2026","TestSpecPage","test_spec1","",""
"","27971","test_process_selectsuccess3","Tests.test_items","Thu Jan 22 21:08:35 CST 2026","passed","Thu Jan 22 21:09:03 CST 2026","TestProcessPage","test_process","",""
"","18708","test_user_cancel","Tests.test_system","Fri Jan 23 04:08:56 CST 2026","passed","Fri Jan 23 04:09:15 CST 2026","TestUserRolePage","test_userRole","",""
"","5347","test_personal_editpassword10","Tests.test_items","Fri Jan 23 00:10:30 CST 2026","passed","Fri Jan 23 00:10:35 CST 2026","TestPersonalPage","test_personal","",""
"","13339","test_role_cancel","Tests.test_system","Fri Jan 23 04:00:10 CST 2026","passed","Fri Jan 23 04:00:23 CST 2026","TestRolePage","test_role","",""
"","12434","test_changespec_select4","Tests.test_items","Thu Jan 22 22:01:51 CST 2026","passed","Thu Jan 22 22:02:03 CST 2026","TestChangeSpecPage","test_changespec","",""
"","7397","test_changeR_ctrlM","Tests.test_items","Thu Jan 22 21:52:11 CST 2026","passed","Thu Jan 22 21:52:19 CST 2026","TestChangeRPage","test_changeR","",""
"","8818","test_loadChart_sort1","Tests.test_items","Thu Jan 22 23:36:11 CST 2026","passed","Thu Jan 22 23:36:19 CST 2026","TestChartPage","test_chart","",""
"","11621","test_resource_editnamesuccess","Tests.test_items","Thu Jan 22 20:33:49 CST 2026","passed","Thu Jan 22 20:34:01 CST 2026","TestResourcePage","test_resource","",""
"","64206","test_process_delsuccess1","Tests.test_items","Thu Jan 22 21:12:05 CST 2026","broken","Thu Jan 22 21:13:09 CST 2026","TestProcessPage","test_process","",""
"","6727","test_materialShift_addsuccess","Tests.test_material","Fri Jan 23 01:09:13 CST 2026","passed","Fri Jan 23 01:09:20 CST 2026","TestItemPage","test_materialShift","",""
